,keyword,0
1440,재밌어,2
1441,반전,2
1442,구분,2
1443,싶긴,2
1444,겠어요,2
1445,명작중,2
1446,김새벽,2
1447,시대성,2
1448,현대적,2
1449,ㅎㅎ듣기,2
1450,신하,2
1451,이야기들,2
1452,귀호강,2
1453,가해자,2
1454,가짜,2
1455,마디,2
1456,대박적,2
1457,다역,2
1458,한예리씨,2
1459,명령,2
1460,내용들이,2
1461,이런식,2
1462,음성합성,2
1463,사회적,2
1464,불편,2
1465,팟케스트,2
1466,편안해요편안한,2
1467,기대감,2
1468,은,2
1469,죽,2
1470,이용권,2
1471,유석,2
1472,빼빼마른,2
1473,뭘까,2
1474,호감,2
1475,계획,2
1476,저렴,2
1477,듣겟습니다재밌게,2
1478,재밌다,2
1479,아기,2
1480,여러가지,2
1481,좋을꺼,2
1482,와닿습니,2
1483,오프닝,2
1484,현장,2
1485,미스테리,2
1486,들었습니다굳,2
1487,잘들었습니다좋아요,2
1488,차원,2
1489,아잘,2
1490,열리,2
1491,흡인력,2
1492,예지원배우님,2
1493,들었습니다~좋,2
1494,다시들으니,2
1495,좋아요아이,2
1496,와닿네요,2
1497,확인,2
1498,보물,2
1499,농담,2
1500,ᆢ,2
1501,어투,2
1502,드,2
1503,좋아요잘들었습니다,2
1504,카메라,2
1505,내용이,2
1506,사업,2
1507,신비,2
1508,4분,2
1509,기대됩니다^^목소리,2
1510,보장,2
1511,탄탄,2
1512,지구,2
1513,콘텐츠네요,2
1514,신뢰,2
1515,좋습니다내,2
1516,문학전집,2
1517,좋아요굿,2
1518,좋네요자기전,2
1519,최민식잘,2
1520,귀로듣,2
1521,가족들,2
1522,가독성,2
1523,나머지,2
1524,잘들어볼게여기대됩니다감사합니다,2
1525,다이애나,2
1526,세관,2
1527,대박날,2
1528,장난아니네요,2
1529,그런거,2
1530,풍경,2
1531,1석,2
1532,소리내,2
1533,심장,2
1534,いいですね목소리,2
1535,소름돋아요,2
1536,착각,2
1537,카리스마,2
1538,입니다정말,2
1539,좋아요잘들었습니다잘,2
1540,좋네요차분한,2
1541,소홀,2
1542,철호,2
1543,어린이,2
